Site,Date,Point,Depth,Tare,SWEpretare,Density,GPS_ID,,,
Powerline,1/17/2023,9,72,66,,,99,,,
Powerline,1/17/2023,10,65,66,82,246.1538462,100,,,
Powerline,1/17/2023,11,70,66,,,101,,,
Powerline,1/17/2023,12,80,66,,,102,,,
Powerline,1/17/2023,13,65,66,80,215.3846154,103,,,
Powerline,1/17/2023,14,81,66,,,104,,,
Powerline,1/17/2023,15,85,66,,,105,,,
Powerline,1/17/2023,16,80,66,86,250,106,,,
Fortress Ridge South,2/1/2023,1,210,114,180,314.2857143,1,,,
Fortress Ridge South,2/1/2023,2,238,114,,,2,,,
Fortress Ridge South,2/1/2023,3,145,114,,,3,,,
Fortress Ridge South,2/1/2023,4,150,114,169,366.6666667,4,,,
Fortress Ridge South,2/1/2023,5,226,114,,,5,,,
Fortress Ridge South,2/1/2023,6,136,114,,,6,,,
Fortress Ridge South,2/1/2023,7,121,114,155,338.8429752,7,,,
Fortress Ridge South,2/1/2023,8,101,114,,,8,,,
Fortress Ridge South,2/1/2023,9,151,114,,,9,,,
Fortress Ridge South,2/1/2023,10,118,114,,,10,,,
Fortress Ridge,2/1/2023,1,2,,,,13,,,
Fortress Ridge,2/1/2023,2,1,,,,14,,,
Fortress Ridge,2/1/2023,3,0,,,,15,,,
Fortress Ridge,2/1/2023,4,0,,,,16,,,
Fortress Ridge,2/1/2023,5,1,,,,17,,,
Fortress Ridge,2/1/2023,6,0,,,,18,,,
Fortress Ridge,2/1/2023,7,1,,,,19,,,
Fortress Ridge,2/1/2023,8,3,,,,20,,,
Fortress Ridge,2/1/2023,9,1,,,,21,,,
Fortress Ridge,2/1/2023,10,4,,,,22,,,
Fortress Ridge,2/1/2023,11,0,,,,23,,,
Fortress Ridge,2/1/2023,12,5,,,,24,,,
Fortress Ridge,2/1/2023,13,0,,,,25,,,
Fortress Ridge,2/1/2023,14,1,,,,26,,,
Fortress Ridge,2/1/2023,15,0,,,,27,,,
Fortress Ridge,2/1/2023,16,1,,,,28,,,
Fortress Ridge,2/1/2023,17,2.5,,,,29,,,
Fortress Ridge,2/1/2023,18,1,,,,30,,,
Fortress Ridge,2/1/2023,19,0,,,,31,,,
Fortress Ridge,2/1/2023,20,3,,,,32,,,
Bonsai,2/1/2023,1,105,115,141,247.6190476,33,,,
Bonsai,2/1/2023,2,106,115,,,34,,,
Bonsai,2/1/2023,3,102,115,,,35,,,
Bonsai,2/1/2023,4,108,115,140,231.4814815,36,,,
Bonsai,2/1/2023,5,106,115,,,37,,,
Bonsai,2/1/2023,6,107,115,,,38,,,
Bonsai,2/1/2023,7,106,115,142,254.7169811,39,,,
Bonsai,2/1/2023,8,104,115,,,40,,,
Bonsai,2/1/2023,9,103,115,,,41,,,
Bonsai,2/1/2023,10,109,115,142,247.706422,42,,,
Canadian Ridge,2/1/2023,1,4,115,,,46,,,
Canadian Ridge,2/1/2023,2,8,115,,,47,,,
Canadian Ridge,2/1/2023,3,46,115,134,413.0434783,48,,,
Canadian Ridge,2/1/2023,4,94,115,,,49,,,
Canadian Ridge,2/1/2023,5,114,115,,,50,,,
Canadian Ridge,2/1/2023,6,96,115,144,302.0833333,51,,,
Canadian Ridge,2/1/2023,7,62,115,,,52,,,
Canadian Ridge,2/1/2023,8,43,115,,,53,,,
Canadian Ridge,2/1/2023,9,45,115,126,244.4444444,54,,,
Canadian Ridge,2/1/2023,10,48,115,,,55,,,
Canadian Ridge,2/1/2023,11,54,115,,,56,,,
Canadian Ridge,2/1/2023,12,64,115,132,265.625,57,,,
Powerline,2/1/2023,1,80,66,86,250,NA,,,
Powerline,2/1/2023,2,55,66,,,NA,,,
Powerline,2/1/2023,3,70,66,,,NA,,,
Powerline,2/1/2023,4,71,66,82,225.3521127,NA,,,
Powerline,2/1/2023,5,44,66,,,NA,,,
Powerline,2/1/2023,6,59,66,,,NA,,,
Powerline,2/1/2023,7,70,66,82,228.5714286,NA,,,
Powerline,2/1/2023,8,74,66,,,NA,,,
Powerline,2/1/2023,9,81,66,,,NA,,,
Powerline,2/1/2023,10,69,66,80,202.8985507,NA,,,
Powerline,2/1/2023,11,72,66,,,NA,,,
Powerline,2/1/2023,12,86,66,,,NA,,,
Powerline,2/1/2023,13,79,66,84,227.8481013,NA,,,
Powerline,2/1/2023,14,86,66,,,NA,,,
Powerline,2/1/2023,15,87,66,,,NA,,,
Fortress Ridge South,2/15/2023,1,235,161,260,421.2765957,37,,,
Fortress Ridge South,2/15/2023,2,286,161,,,38,,,
Fortress Ridge South,2/15/2023,3,165,161,,,39,,,
Fortress Ridge South,2/15/2023,4,210,161,251,428.5714286,40,,,
Fortress Ridge South,2/15/2023,5,135,161,,,41,,,
Fortress Ridge South,2/15/2023,6,109,161,,,42,,,
Fortress Ridge South,2/15/2023,7,136,161,209,352.9411765,43,,,
Fortress Ridge South,2/15/2023,8,119,161,,,44,,,
Fortress Ridge South,2/15/2023,9,82,161,,,45,,,
Fortress Ridge South,2/15/2023,10,146,161,,,46,,,
Fortress Ridge South,2/15/2023,11,140,161,217,400,47,,,
Bonsai,2/15/2023,1,114,66,99,289.4736842,68,,,
Bonsai,2/15/2023,2,116,66,,,69,,,
Bonsai,2/15/2023,3,110,66,,,70,,,
Bonsai,2/15/2023,4,116,66,99,284.4827586,71,,,
Bonsai,2/15/2023,5,113,66,,,72,,,
Bonsai,2/15/2023,6,115,66,,,73,,,
Bonsai,2/15/2023,7,120,66,101,291.6666667,74,,,
Bonsai,2/15/2023,8,114,66,,,75,,,
Bonsai,2/15/2023,9,115,66,,,76,,,
Bonsai,2/15/2023,10,115,66,97,269.5652174,77,,,
Fortress Ridge,2/15/2023,1,1,161,,,NA,,,
Canadian Ridge,2/15/2023,1,23,66,73,304.3478261,NA,,,
Fortress Ridge,2/15/2023,2,3,161,,,NA,,,
Canadian Ridge,2/15/2023,2,63,66,,,NA,,,
Fortress Ridge,2/15/2023,3,1,161,,,NA,,,
Canadian Ridge,2/15/2023,3,106,66,,,NA,,,
Fortress Ridge,2/15/2023,4,1,161,,,NA,,,
Canadian Ridge,2/15/2023,4,95,66,101,368.4210526,NA,,,
Fortress Ridge,2/15/2023,5,1,161,,,NA,,,
Canadian Ridge,2/15/2023,5,88,66,,,NA,,,
Fortress Ridge,2/15/2023,6,1,161,,,NA,,,
Canadian Ridge,2/15/2023,6,71,66,,,NA,,,
Fortress Ridge,2/15/2023,7,5,161,,,NA,,,
Canadian Ridge,2/15/2023,7,94,66,93,287.2340426,NA,,,
Fortress Ridge,2/15/2023,8,3,161,,,NA,,,
Canadian Ridge,2/15/2023,8,61,66,,,NA,,,
Fortress Ridge,2/15/2023,9,1,161,,,NA,,,
Canadian Ridge,2/15/2023,9,51,66,,,NA,,,
Fortress Ridge,2/15/2023,10,2,161,,,NA,,,
Canadian Ridge,2/15/2023,10,60,66,85,316.6666667,NA,,,
Fortress Ridge,2/15/2023,11,1,161,,,NA,,,
Canadian Ridge,2/15/2023,11,60,66,,,NA,,,
Fortress Ridge,2/15/2023,12,1,161,,,NA,,,
Canadian Ridge,2/15/2023,12,62,66,82,258.0645161,NA,,,
Fortress Ridge,2/15/2023,13,1,161,,,NA,,,
Canadian Ridge,2/15/2023,13,59,66,,,NA,,,
Fortress Ridge,2/15/2023,14,1,161,,,NA,,,
Canadian Ridge,2/15/2023,14,51,66,,,NA,,,
Fortress Ridge,2/15/2023,15,0,161,,,NA,,,
Canadian Ridge,2/15/2023,15,52,66,,,NA,,,
Fortress Ridge,2/15/2023,16,1,161,,,NA,,,
Fortress Ridge,2/15/2023,17,1,161,,,NA,,,
Fortress Ridge,2/15/2023,18,1,161,,,NA,,,
Fortress Ridge,2/15/2023,19,0,161,,,NA,,,
Fortress Ridge,2/15/2023,20,1,161,,,NA,,,
Powerline,2/15/2023,1,89.5,35.5,59,262.5698324,NA,,,
Powerline,2/15/2023,2,59,35.5,,,NA,,,
Powerline,2/15/2023,3,73,35.5,,,NA,,,
Powerline,2/15/2023,4,57,35.5,50,254.3859649,NA,,,
Powerline,2/15/2023,5,46,35.5,,,NA,,,
Powerline,2/15/2023,6,67,35.5,,,NA,,,
Powerline,2/15/2023,7,66,35.5,52,250,NA,,,
Powerline,2/15/2023,8,67,35.5,,,NA,,,
Powerline,2/15/2023,9,64,35.5,,,NA,,,
Powerline,2/15/2023,10,64,35.5,,,NA,,,
Powerline,2/15/2023,11,50.5,35.5,50.5,297.029703,NA,,,
Powerline,2/15/2023,12,88,35.5,,,NA,,,
Powerline,2/15/2023,13,72,35.5,,,NA,,,
Powerline,2/15/2023,14,86,35.5,55,226.744186,NA,,,
Fortress Ridge South,2/28/2023,1,217,113,177,294.9308756,38,,,
Fortress Ridge South,2/28/2023,2,136,113,,,39,,,
Fortress Ridge South,2/28/2023,3,246,113,,,40,,,
Fortress Ridge South,2/28/2023,4,158,113,149,227.8481013,41,,,
Fortress Ridge South,2/28/2023,5,235,113,,,42,,,
Fortress Ridge South,2/28/2023,6,152,113,,,43,,,
Fortress Ridge South,2/28/2023,7,127,113,148,275.5905512,44,,,
Fortress Ridge South,2/28/2023,8,162,113,,,45,,,
Fortress Ridge South,2/28/2023,9,157,113,,,46,,,
Fortress Ridge South,2/28/2023,10,127,113,152,307.0866142,47,,,
Fortress Ridge,2/28/2023,1,3,67,,,50,,,
Fortress Ridge,2/28/2023,2,7,67,,,51,,,
Fortress Ridge,2/28/2023,3,5,67,,,52,,,
Fortress Ridge,2/28/2023,4,6,67,,,53,,,
Fortress Ridge,2/28/2023,5,11,67,68.5,136.3636364,54,,,
Fortress Ridge,2/28/2023,6,2,67,,,55,,,
Fortress Ridge,2/28/2023,7,3,67,,,56,,,
Fortress Ridge,2/28/2023,8,9,67,68,111.1111111,57,,,
Fortress Ridge,2/28/2023,9,3,67,,,58,,,
Fortress Ridge,2/28/2023,10,9,67,,,59,,,
Fortress Ridge,2/28/2023,11,10.5,67,68,95.23809524,60,,,
Fortress Ridge,2/28/2023,12,2,67,,,61,,,
Fortress Ridge,2/28/2023,13,6,67,,,62,,,
Fortress Ridge,2/28/2023,14,7,67,,,63,,,
Fortress Ridge,2/28/2023,15,3,67,,,64,,,
Fortress Ridge,2/28/2023,16,3,67,,,65,,,
Fortress Ridge,2/28/2023,17,8,67,,,66,,,
Fortress Ridge,2/28/2023,18,9,67,,,67,,,
Fortress Ridge,2/28/2023,19,6,67,,,68,,,
Fortress Ridge,2/28/2023,20,5,67,,,69,,,
Bonsai,2/28/2023,1,136,68,102,250,70,,,
Bonsai,2/28/2023,2,141,68,,,71,,,
Bonsai,2/28/2023,3,137,68,,,72,,,
Bonsai,2/28/2023,4,138,68,101,239.1304348,73,,,
Bonsai,2/28/2023,5,137,68,,,74,,,
Bonsai,2/28/2023,6,139,68,,,75,,,
Bonsai,2/28/2023,7,138,68,102,246.3768116,76,,,
Bonsai,2/28/2023,8,139,68,,,77,,,
Bonsai,2/28/2023,9,140,68,,,78,,,
Bonsai,2/28/2023,10,114,68,93,219.2982456,79,,,
Canadian Ridge,2/28/2023,1,50,113,124,220,82,,,
Canadian Ridge,2/28/2023,2,101,113,,,83,,,
Canadian Ridge,2/28/2023,3,102,113,,,84,,,
Canadian Ridge,2/28/2023,4,110,113,152,354.5454545,85,,,
Canadian Ridge,2/28/2023,5,117,113,,,86,,,
Canadian Ridge,2/28/2023,6,109,113,,,87,,,
Canadian Ridge,2/28/2023,7,76,113,142,381.5789474,88,,,
Canadian Ridge,2/28/2023,8,68,113,,,89,,,
Canadian Ridge,2/28/2023,9,71,113,,,90,,,
Canadian Ridge,2/28/2023,10,73,113,127,191.7808219,91,,,
Canadian Ridge,2/28/2023,11,68,113,,,92,,,
Canadian Ridge,2/28/2023,12,80,113,,,93,,,
Powerline,2/28/2023,1,111,66,91,225.2252252,94,,,
Powerline,2/28/2023,2,80,66,,,95,,,
Powerline,2/28/2023,3,95,66,,,96,,,
Powerline,2/28/2023,4,81,66,86,246.9135802,97,,,
Powerline,2/28/2023,5,79,66,,,98,,,
Powerline,2/28/2023,6,98,66,,,99,,,
Powerline,2/28/2023,7,77,66,82,207.7922078,100,,,
Powerline,2/28/2023,8,104,66,,,101,,,
Powerline,2/28/2023,9,91,66,,,102,,,
Powerline,2/28/2023,10,93,66,88,236.5591398,103,,,
Powerline,2/28/2023,11,114,66,,,104,,,
Powerline,2/28/2023,12,103,66,,,105,,,
Fortress Ridge South,3/16/2023,1,235,161,263,434.0425532,1,,,
Fortress Ridge South,3/16/2023,2,249,161,,,2,,,
Fortress Ridge South,3/16/2023,3,290,161,,,3,,,
Fortress Ridge South,3/16/2023,4,210,161,239,371.4285714,4,,,
Fortress Ridge South,3/16/2023,5,251,161,,,5,,,
Fortress Ridge South,3/16/2023,6,175,161,,,6,,,
Fortress Ridge South,3/16/2023,7,152,161,214,348.6842105,7,,,
Fortress Ridge South,3/16/2023,8,151,161,,,9,,,
Fortress Ridge South,3/16/2023,9,171,161,,,10,,,
Fortress Ridge South,3/16/2023,10,119,161,196,294.1176471,11,,,
Fortress Ridge,3/16/2023,1,5,66,,,12,,,
Fortress Ridge,3/16/2023,2,3,66,,,13,,,
Fortress Ridge,3/16/2023,3,3,66,,,14,,,
Fortress Ridge,3/16/2023,4,1,66,,,15,,,
Fortress Ridge,3/16/2023,5,2,66,,,16,,,
Fortress Ridge,3/16/2023,6,2,66,,,17,,,
Fortress Ridge,3/16/2023,7,4,66,,,18,,,
Fortress Ridge,3/16/2023,8,7,66,,,19,,,
Fortress Ridge,3/16/2023,9,12,66,,,20,,,
Fortress Ridge,3/16/2023,11,12,66,,,21,,,
Fortress Ridge,3/16/2023,12,9,66,,,22,,,
Fortress Ridge,3/16/2023,13,7,66,,,23,,,
Fortress Ridge,3/16/2023,14,5,66,,,24,,,
Fortress Ridge,3/16/2023,15,7,66,,,25,,,
Fortress Ridge,3/16/2023,16,1,66,,,26,,,
Fortress Ridge,3/16/2023,17,14,66,,,27,,,
Fortress Ridge,3/16/2023,19,12,66,,,28,,,
Fortress Ridge,3/16/2023,20,11,66,,,29,,,
Fortress Ridge,3/16/2023,10,18,66,70,222.2222222,30,,,
Fortress Ridge,3/16/2023,18,14,66,69,214.2857143,32,,,
Bonsai,3/16/2023,1,155,115,153,245.1612903,33,,,
Bonsai,3/16/2023,2,159,115,,,34,,,
Bonsai,3/16/2023,3,158,115,,,35,,,
Bonsai,3/16/2023,4,154,115,150,227.2727273,36,,,
Bonsai,3/16/2023,5,154,115,,,37,,,
Bonsai,3/16/2023,6,156,115,,,38,,,
Bonsai,3/16/2023,7,157,115,156,261.1464968,39,,,
Bonsai,3/16/2023,8,154,115,,,40,,,
Bonsai,3/16/2023,9,161,115,,,41,,,
Bonsai,3/16/2023,10,157,115,156,261.1464968,42,,,
Canadian Ridge,3/16/2023,1,62,114,130,258.0645161,45,,,
Canadian Ridge,3/16/2023,2,119,114,,,46,,,
Canadian Ridge,3/16/2023,3,138,114,,,47,,,
Canadian Ridge,3/16/2023,4,149,114,,,48,,,
Canadian Ridge,3/16/2023,5,129,114,154,310.0775194,49,,,
Canadian Ridge,3/16/2023,6,107,114,,,50,,,
Canadian Ridge,3/16/2023,7,96,114,,,51,,,
Canadian Ridge,3/16/2023,8,100,114,,,52,,,
Canadian Ridge,3/16/2023,9,110,114,139,227.2727273,53,,,
Canadian Ridge,3/16/2023,10,89,114,,,54,,,
Canadian Ridge,3/16/2023,11,99,114,,,55,,,
Canadian Ridge,3/16/2023,12,114,114,,,56,,,
Canadian Ridge,3/16/2023,13,91,114,137,252.7472527,57,,,
Canadian Ridge,3/16/2023,15,81,114,,,58,,,
Canadian Ridge,3/16/2023,14,91,114,,,NA,,,
Powerline,3/16/2023,1,131,114,150,274.8091603,59,,,
Powerline,3/16/2023,2,84,114,,,60,,,
Powerline,3/16/2023,3,105,114,,,NA,,,
Powerline,3/16/2023,4,94,114,142,297.8723404,NA,,,
Powerline,3/16/2023,5,69,114,,,NA,,,
Powerline,3/16/2023,6,110,114,,,NA,,,
Powerline,3/16/2023,7,88,114,139,284.0909091,NA,,,
Powerline,3/16/2023,8,106,114,,,NA,,,
Powerline,3/16/2023,9,126,114,,,NA,,,
Powerline,3/16/2023,10,100,114,137,230,61,,,
Powerline,3/16/2023,11,129,114,,,NA,,,
Powerline,3/16/2023,12,116,114,,,62,,,
Powerline,3/16/2023,13,134,114,,,63,,,
Powerline,3/16/2023,14,127,114,,,64,,,
Powerline,3/16/2023,15,145,114,,,65,,,
Fortress Ridge South,3/29/2023,1,175,161,190,165.7142857,2,,,
Fortress Ridge South,3/29/2023,2,218,161,,,3,,,
Fortress Ridge South,3/29/2023,3,266,161,,,4,,,
Fortress Ridge South,3/29/2023,4,187,161,234,390.3743316,5,,,
Fortress Ridge South,3/29/2023,5,223,161,,,6,,,
Fortress Ridge South,3/29/2023,6,206,161,,,7,,,
Fortress Ridge South,3/29/2023,7,245,161,,,8,,,
Fortress Ridge South,3/29/2023,8,198,161,232,358.5858586,10,,,
Fortress Ridge South,3/29/2023,9,96,161,,,11,,,
Fortress Ridge South,3/29/2023,10,115,161,,,12,,,
Fortress Ridge South,3/29/2023,11,130,161,,,13,,,
Fortress Ridge South,3/29/2023,12,139,161,202,294.9640288,14,,,
Fortress Ridge South,3/29/2023,13,140,161,,,15,,,
Fortress Ridge South,3/29/2023,14,154,161,,,16,,,
Fortress Ridge South,3/29/2023,15,168,161,212,303.5714286,17,,,
Fortress Ridge,3/29/2023,1,32,68,72,125,20,,,
Fortress Ridge,3/29/2023,2,36,68,,,21,,,
Fortress Ridge,3/29/2023,3,31,68,,,22,,,
Fortress Ridge,3/29/2023,4,35,68,73,142.8571429,23,,,
Fortress Ridge,3/29/2023,5,39,68,,,24,,,
Fortress Ridge,3/29/2023,6,44,68,,,25,,,
Fortress Ridge,3/29/2023,7,46,68,,,26,,,
Fortress Ridge,3/29/2023,8,30,68,72,133.3333333,27,,,
Fortress Ridge,3/29/2023,9,36,68,,,28,,,
Fortress Ridge,3/29/2023,10,38,68,,,29,,,
Fortress Ridge,3/29/2023,11,37,68,,,30,,,
Fortress Ridge,3/29/2023,12,37,68,73,135.1351351,31,,,
Fortress Ridge,3/29/2023,13,43,68,,,32,,,
Fortress Ridge,3/29/2023,14,44,68,,,33,,,
Fortress Ridge,3/29/2023,15,45,68,74,133.3333333,34,,,
Bonsai,3/29/2023,1,163,114,155,251.5337423,35,,,
Bonsai,3/29/2023,2,177,114,,,36,,,
Bonsai,3/29/2023,3,173,114,,,37,,,
Bonsai,3/29/2023,4,169,114,162,284.0236686,38,,,
Bonsai,3/29/2023,5,169,114,,,39,,,
Bonsai,3/29/2023,6,168,114,,,40,,,
Bonsai,3/29/2023,7,170,114,162,282.3529412,41,,,
Bonsai,3/29/2023,8,170,114,,,42,,,
Bonsai,3/29/2023,9,177,114,,,43,,,
Bonsai,3/29/2023,10,169,114,161,278.1065089,44,,,
Canadian Ridge,3/29/2023,1,57,114,130,280.7017544,46,,,
Canadian Ridge,3/29/2023,2,126,114,,,47,,,
Canadian Ridge,3/29/2023,3,160,114,,,48,,,
Canadian Ridge,3/29/2023,4,166,114,170,337.3493976,49,,,
Canadian Ridge,3/29/2023,5,135,114,,,50,,,
Canadian Ridge,3/29/2023,6,124,114,,,51,,,
Canadian Ridge,3/29/2023,7,117,114,,,53,,,
Canadian Ridge,3/29/2023,8,112,114,138,214.2857143,54,,,
Canadian Ridge,3/29/2023,9,108,114,,,55,,,
Canadian Ridge,3/29/2023,10,109,114,,,56,,,
Canadian Ridge,3/29/2023,11,110,114,,,57,,,
Canadian Ridge,3/29/2023,12,113,114,142,247.7876106,58,,,
Canadian Ridge,3/29/2023,13,106,114,,,59,,,
Canadian Ridge,3/29/2023,15,99,114,137,232.3232323,60,,,
Canadian Ridge,3/29/2023,14,101,114,,,NA,,,
Powerline,3/29/2023,1,138,114,155,297.1014493,61,,,
Powerline,3/29/2023,2,94,114,,,62,,,
Powerline,3/29/2023,3,118,114,,,63,,,
Powerline,3/29/2023,4,117,114,147,282.0512821,64,,,
Powerline,3/29/2023,5,82,114,,,65,,,
Powerline,3/29/2023,6,104,114,,,66,,,
Powerline,3/29/2023,7,107,114,,,67,,,
Powerline,3/29/2023,8,106,114,140,245.2830189,68,,,
Powerline,3/29/2023,9,133,114,,,69,,,
Powerline,3/29/2023,10,110,114,,,70,,,
Powerline,3/29/2023,11,111,114,,,71,,,
Powerline,3/29/2023,12,136,114,130,117.6470588,72,,,
Powerline,3/29/2023,13,142,114,,,73,,,
Powerline,3/29/2023,14,140,114,,,74,,,
Powerline,3/29/2023,15,125,114,142,224,75,,,
Fortress Ridge South,4/20/2023,1,262,161,242,309.1603053,1,,,
Fortress Ridge South,4/20/2023,2,244,161,,,2,,,
Fortress Ridge South,4/20/2023,3,270,161,,,3,,,
Fortress Ridge South,4/20/2023,4,234,161,242,346.1538462,4,,,
Fortress Ridge South,4/20/2023,5,267,161,,,5,,,
Fortress Ridge South,4/20/2023,6,235,161,,,6,,,
Fortress Ridge South,4/20/2023,7,194,161,229,350.5154639,7,,,
Fortress Ridge South,4/20/2023,8,194,161,,,8,,,
Fortress Ridge South,4/20/2023,9,203,161,,,9,,,
Fortress Ridge South,4/20/2023,10,185,161,212,275.6756757,10,,,
Fortress Ridge,4/20/2023,1,25,66,71,200,14,,,
Fortress Ridge,4/20/2023,2,23,66,,,15,,,
Fortress Ridge,4/20/2023,3,20,66,,,16,,,
Fortress Ridge,4/20/2023,4,26,66,,,17,,,
Fortress Ridge,4/20/2023,5,20,66,,,18,,,
Fortress Ridge,4/20/2023,6,21,66,70,190.4761905,19,,,
Fortress Ridge,4/20/2023,7,15,66,,,20,,,
Fortress Ridge,4/20/2023,8,33,66,,,21,,,
Fortress Ridge,4/20/2023,9,45,66,75,200,22,,,
Fortress Ridge,4/20/2023,10,42,66,,,23,,,
Fortress Ridge,4/20/2023,11,51,66,,,24,,,
Fortress Ridge,4/20/2023,12,37,66,,,25,,,
Fortress Ridge,4/20/2023,13,32,66,,,26,,,
Fortress Ridge,4/20/2023,14,22,66,,,27,,,
Fortress Ridge,4/20/2023,15,21,66,70,190.4761905,28,,,
Fortress Ridge,4/20/2023,16,32,66,,,29,,,
Fortress Ridge,4/20/2023,17,17,66,,,30,,,
Fortress Ridge,4/20/2023,18,27,66,,,31,,,
Fortress Ridge,4/20/2023,19,22,66,,,32,,,
Fortress Ridge,4/20/2023,20,14,66,68,142.8571429,33,,,
Bonsai,4/20/2023,1,172,113,161,279.0697674,34,,,
Bonsai,4/20/2023,2,179,113,,,35,,,
Bonsai,4/20/2023,3,181,113,,,36,,,
Bonsai,4/20/2023,4,177,113,165,293.7853107,37,,,
Bonsai,4/20/2023,5,178,113,,,38,,,
Bonsai,4/20/2023,6,177,113,,,39,,,
Bonsai,4/20/2023,7,174,113,161,275.862069,40,,,
Bonsai,4/20/2023,8,190,113,,,41,,,
Bonsai,4/20/2023,9,186,113,,,42,,,
Canadian Ridge,4/20/2023,1,97,113,142,298.9690722,45,,,
Canadian Ridge,4/20/2023,2,147,113,,,46,,,
Canadian Ridge,4/20/2023,3,186,113,,,47,,,
Canadian Ridge,4/20/2023,4,200,113,160,235,48,,,
Canadian Ridge,4/20/2023,5,189,113,,,49,,,
Canadian Ridge,4/20/2023,6,160,113,,,50,,,
Canadian Ridge,4/20/2023,7,138,113,151,275.3623188,51,,,
Canadian Ridge,4/20/2023,8,133,113,,,52,,,
Canadian Ridge,4/20/2023,9,141,113,,,53,,,
Canadian Ridge,4/20/2023,10,141,113,155,297.8723404,54,,,
Canadian Ridge,4/20/2023,11,141,113,,,55,,,
Canadian Ridge,4/20/2023,12,135,113,,,56,,,
Canadian Ridge,4/20/2023,13,125,113,144,248,57,,,
Powerline,4/20/2023,1,154,113,161,311.6883117,58,,,
Powerline,4/20/2023,2,105,113,,,59,,,
Powerline,4/20/2023,3,140,113,,,60,,,
Powerline,4/20/2023,4,125,113,153,320,61,,,
Powerline,4/20/2023,5,93,113,,,62,,,
Powerline,4/20/2023,6,138,113,,,63,,,
Powerline,4/20/2023,7,126,113,151,301.5873016,64,,,
Powerline,4/20/2023,8,142,113,,,65,,,
Powerline,4/20/2023,9,136,113,,,66,,,
Powerline,4/20/2023,10,132,113,148,265.1515152,67,,,
Powerline,4/20/2023,11,135,113,,,68,,,
Powerline,4/20/2023,12,150,113,,,69,,,
Powerline,4/20/2023,13,149,113,157,295.3020134,70,,,
Fortress Ridge South,4/25/2023,1,254,161,258,381.8897638,1,,,
Fortress Ridge South,4/25/2023,2,254,161,,,2,,,
Fortress Ridge South,4/25/2023,3,232,161,,,3,,,
Fortress Ridge South,4/25/2023,4,215,161,236,348.8372093,4,,,
Fortress Ridge South,4/25/2023,5,246,161,,,5,,,
Fortress Ridge South,4/25/2023,6,215,161,,,6,,,
Fortress Ridge South,4/25/2023,7,211,161,235,350.7109005,7,,,
Fortress Ridge South,4/25/2023,8,174,161,,,8,,,
Fortress Ridge South,4/25/2023,9,180,161,,,9,,,
Fortress Ridge South,4/25/2023,10,181,161,216,303.8674033,10,,,
Fortress Ridge South,4/25/2023,11,197,161,242,411.1675127,11,,,
Fortress Ridge South,4/25/2023,12,217,161,250,410.1382488,12,,,
Fortress Ridge,4/25/2023,1,13,68,,,13,,,
Fortress Ridge,4/25/2023,2,9,68,,,14,,,
Fortress Ridge,4/25/2023,3,11,68,,,15,,,
Fortress Ridge,4/25/2023,4,20,68,72,200,16,,,
Fortress Ridge,4/25/2023,5,16,68,,,17,,,
Fortress Ridge,4/25/2023,6,21,68,,,18,,,
Fortress Ridge,4/25/2023,7,2,68,,,19,,,
Fortress Ridge,4/25/2023,8,14,68,73,357.1428571,20,,,
Fortress Ridge,4/25/2023,9,26,68,,,21,,,
Fortress Ridge,4/25/2023,10,39,68,,,22,,,
Fortress Ridge,4/25/2023,11,26,68,,,23,,,
Fortress Ridge,4/25/2023,12,36,68,74,166.6666667,24,,,
Fortress Ridge,4/25/2023,13,39,68,,,25,,,
Fortress Ridge,4/25/2023,14,29,68,,,26,,,
Fortress Ridge,4/25/2023,15,30,68,,,27,,,
Fortress Ridge,4/25/2023,16,19,68,,,28,,,
Fortress Ridge,4/25/2023,17,13,68,,,29,,,
Fortress Ridge,4/25/2023,18,10,68,,,30,,,
Fortress Ridge,4/25/2023,19,23,68,,,31,,,
Fortress Ridge,4/25/2023,20,21,68,,,32,,,
Fortress Ridge,4/25/2023,21,14,68,,,33,,,
Bonsai,4/25/2023,1,160,114,167,331.25,34,,,
Bonsai,4/25/2023,2,170,114,,,35,,,
Bonsai,4/25/2023,3,166,114,,,36,,,
Bonsai,4/25/2023,4,168,114,169,327.3809524,37,,,
Bonsai,4/25/2023,5,165,114,,,38,,,
Bonsai,4/25/2023,6,165,114,,,39,,,
Bonsai,4/25/2023,7,168,114,171,339.2857143,40,,,
Bonsai,4/25/2023,8,168,114,,,41,,,
Bonsai,4/25/2023,9,172,114,,,42,,,
Bonsai,4/25/2023,10,175,114,,,43,,,
Bonsai,4/25/2023,11,168,114,163,291.6666667,44,,,
Bonsai,4/25/2023,12,172,114,170,325.5813953,45,,,
Canadian Ridge,4/25/2023,1,69,114,136,318.8405797,46,,,
Canadian Ridge,4/25/2023,2,75,114,,,47,,,
Canadian Ridge,4/25/2023,3,126,114,,,48,,,
Canadian Ridge,4/25/2023,4,178,114,180,370.7865169,49,,,
Canadian Ridge,4/25/2023,5,191,114,,,50,,,
Canadian Ridge,4/25/2023,6,181,114,,,51,,,
Canadian Ridge,4/25/2023,7,174,114,170,321.8390805,52,,,
Canadian Ridge,4/25/2023,8,142,114,,,53,,,
Canadian Ridge,4/25/2023,9,128,114,,,54,,,
Canadian Ridge,4/25/2023,10,122,114,145,254.0983607,55,,,
